"Title:","Dow Jones Industrial Average (US) - High from the Dow Jones Industrial Average (US) Database"
"SubTitle:","International"
"Time:","01/02/1980 - 11/11/2022"
"Unit of Measure:","$"
"Citation:","S&P Dow Jones Indices (US) (2022-11-14). Dow Jones Industrial Average (US): Dow Jones Industrial Average (US) - High, 01/02/1980 - 11/11/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  039-001-002 doi:https://doi.org/10.6068/DP184779A1F7630"
"ColumnCount:",2
"RowCount:",10797

"Time","Dow Jones Industrial Average (US) - High ($)"
"12/16/1980",922.34
"12/17/1980",933.95
"12/18/1980",948.38
"12/19/1980",945.31
"12/22/1980",962.7
"12/23/1980",971.25
"12/24/1980",968.17
"12/26/1980",969.38
"12/29/1980",974.56
"12/30/1980",969.55
"12/31/1980",971.5
"01/02/1981",975.69
"01/05/1981",996.94
"01/06/1981",1013.14
"01/07/1981",986.34
"01/08/1981",986.02
"01/09/1981",977.05
"01/12/1981",983.88
"01/13/1981",971.25
"01/14/1981",978.06
"01/15/1981",975.17
"01/16/1981",980.3
"01/19/1981",980.38
"01/20/1981",975.94
"01/21/1981",954.02
"01/22/1981",951.28
"01/23/1981",947.09
"01/26/1981",947.7
"01/27/1981",954.69
"01/28/1981",956.91
"01/29/1981",955.63
"01/30/1981",960.23
"02/02/1981",947.09
"02/03/1981",944.38
"02/04/1981",948.2
"02/05/1981",952.22
"02/06/1981",959.98
"02/09/1981",958.53
"02/10/1981",955.13
"02/11/1981",954.44
"02/12/1981",947.52
"02/13/1981",940.19
"02/17/1981",944.28
"02/18/1981",950.34
"02/19/1981",952.05
"02/20/1981",942.41
"02/23/1981",952.22
"02/24/1981",955.63
"02/25/1981",958.52
"02/26/1981",972.22
"02/27/1981",980.88
"03/02/1981",983.75
"03/03/1981",982.02
"03/04/1981",980.7
"03/05/1981",977.11
"03/06/1981",972.13
"03/09/1981",981.22
"03/10/1981",987.59
"03/11/1981",978.3
"03/12/1981",991.34
"03/13/1981",1002.7
"03/16/1981",1005.41
"03/17/1981",1011.08
"03/18/1981",1003.33
"03/19/1981",1001.7
"03/20/1981",1002.06
"03/23/1981",1008.92
"03/24/1981",1015.58
"03/25/1981",1016.48
"03/26/1981",1021.81
"03/27/1981",1008.3
"03/30/1981",1005.05
"03/31/1981",1011.44
"04/01/1981",1020.63
"04/02/1981",1020.63
"04/03/1981",1017.02
"04/06/1981",1004.59
"04/07/1981",1004.41
"04/08/1981",1000.45
"04/09/1981",1004.5
"04/10/1981",1009.02
"04/13/1981",1003.52
"04/14/1981",998.56
"04/15/1981",1004.41
"04/16/1981",1012.8
"04/20/1981",1020.7
"04/21/1981",1020.98
"04/22/1981",1013.95
"04/23/1981",1022.23
"04/24/1981",1024.69
"04/27/1981",1030.98
"04/28/1981",1029.63
"04/29/1981",1018.38
"04/30/1981",1010.91
"05/01/1981",1005.22
"05/04/1981",985.41
"05/05/1981",979.38
"05/06/1981",983.16
"05/07/1981",981.98
"05/08/1981",983.88
"05/11/1981",979.47
"05/12/1981",973.7
"05/13/1981",978.13
"05/14/1981",979.02
"05/15/1981",990.09
"05/18/1981",994.42
"05/19/1981",988.3
"05/20/1981",984.88
"05/21/1981",984.06
"05/22/1981",982.63
"05/26/1981",987.2
"05/27/1981",998.7
"05/28/1981",1002.97
"05/29/1981",1003.16
"06/01/1981",1010.48
"06/02/1981",1003.16
"06/03/1981",993.14
"06/04/1981",996.66
"06/05/1981",999.44
"06/08/1981",1003.52
"06/09/1981",1004.45
"06/10/1981",1003.7
"06/11/1981",1010.56
"06/12/1981",1017.22
"06/15/1981",1023.02
"06/16/1981",1017.5
"06/17/1981",1010.84
"06/18/1981",1011.8
"06/19/1981",1002.84
"06/22/1981",1004.19
"06/23/1981",1008.94
"06/24/1981",1008.09
"06/25/1981",1007.98
"06/26/1981",1001.81
"06/29/1981",996.39
"06/30/1981",988.02
"07/01/1981",978.98
"07/02/1981",972.7
"07/06/1981",957.95
"07/07/1981",962.9
"07/08/1981",961.28
"07/09/1981",963.19
"07/10/1981",963.38
"07/13/1981",962.42
"07/14/1981",956.53
"07/15/1981",960.33
"07/16/1981",960.52
"07/17/1981",964.8
"07/20/1981",954.81
"07/21/1981",944.34
"07/22/1981",942.06
"07/23/1981",932.84
"07/24/1981",941.78
"07/27/1981",950.81
"07/28/1981",948.16
"07/29/1981",947.3
"07/30/1981",948.25
"07/31/1981",956.72
"08/03/1981",955.48
"08/04/1981",951.39
"08/05/1981",958.81
"08/06/1981",961.47
"08/07/1981",954.16
"08/10/1981",948.81
"08/11/1981",955.48
"08/12/1981",955.86
"08/13/1981",952.91
"08/14/1981",947.77
"08/17/1981",939.41
"08/18/1981",932.73
"08/19/1981",932.08
"08/20/1981",935.31
"08/21/1981",930.65
"08/24/1981",917.44
"08/25/1981",904.3
"08/26/1981",908.39
"08/27/1981",900.48
"08/28/1981",898.78
"08/31/1981",900.88
"09/01/1981",889.36
"09/02/1981",892.41
"09/03/1981",888.7
"09/04/1981",869.95
"09/08/1981",863.39
"09/09/1981",861.3
"09/10/1981",868.81
"09/11/1981",875.48
"09/14/1981",876.24
"09/15/1981",872.53
"09/16/1981",858.45
"09/17/1981",858.27
"09/18/1981",845.52
"09/21/1981",851.69
"09/22/1981",855.41
"09/23/1981",847.52
"09/24/1981",850.66
"09/25/1981",834.47
"09/28/1981",844.66
"09/29/1981",858.83
"09/30/1981",854.36
"10/01/1981",855.88
"10/02/1981",866.34
"10/05/1981",873.95
"10/06/1981",870.81
"10/07/1981",871.58
"10/08/1981",881.66
"10/09/1981",885.84
"10/12/1981",877.77
"10/13/1981",876.05
"10/14/1981",866.53
"10/15/1981",861.48
"10/16/1981",860.73
"10/19/1981",853.88
"10/20/1981",860.06
"10/21/1981",861.97
"10/22/1981",854.06
"10/23/1981",847.59
"10/26/1981",837.98
"10/27/1981",846.94
"10/28/1981",847.89
"10/29/1981",842.47
"10/30/1981",854.83
"11/02/1981",872.53
"11/03/1981",873.19
"11/04/1981",876.05
"11/05/1981",874.14
"11/06/1981",861.2
"11/09/1981",861.48
"11/10/1981",865.58
"11/11/1981",860.83
"11/12/1981",869.02
"11/13/1981",865.2
"11/16/1981",853.8
"11/17/1981",853.5
"11/18/1981",854.27
"11/19/1981",850.08
"11/20/1981",858.16
"11/23/1981",860.92
"11/24/1981",873.3
"11/25/1981",884.98
"11/27/1981",890.89
"11/30/1981",892.8
"12/01/1981",896.13
"12/02/1981",892.41
"12/03/1981",888.31
"12/04/1981",898.5
"12/07/1981",897.17
"12/08/1981",889.36
"12/09/1981",891.45
"12/10/1981",897.73
"12/11/1981",897.45
"12/14/1981",882.52
"12/15/1981",880.33
"12/16/1981",878.42
"12/17/1981",874.71
"12/18/1981",880.7
"12/21/1981",879.56
"12/22/1981",878.81
"12/23/1981",877.28
"12/24/1981",876.14
"12/28/1981",878.05
"12/29/1981",875.67
"12/30/1981",879.77
"12/31/1981",880.33
"01/04/1982",887.38
"01/05/1982",882.61
"01/06/1982",868.72
"01/07/1982",865.39
"01/08/1982",872.16
"01/11/1982",872.44
"01/12/1982",856.06
"01/13/1982",855.31
"01/14/1982",848.36
"01/15/1982",852.64
"01/18/1982",857.78
"01/19/1982",861.97
"01/20/1982",853.5
"01/21/1982",856.64
"01/22/1982",853.31
"01/25/1982",846.75
"01/26/1982",849.8
"01/27/1982",848.08
"01/28/1982",867.2
"01/29/1982",876.7
"02/01/1982",866.34
"02/02/1982",860.83
"02/03/1982",858.27
"02/04/1982",852.73
"02/05/1982",858.27
"02/08/1982",849.7
"02/09/1982",838.47
"02/10/1982",842.09
"02/11/1982",841.42
"02/12/1982",841.31
"02/16/1982",834.67
"02/17/1982",836.95
"02/18/1982",836.95
"02/19/1982",833.33
"02/22/1982",835.81
"02/23/1982",817.73
"02/24/1982",829.72
"02/25/1982",837.42
"02/26/1982",831.23
"03/01/1982",834.28
"03/02/1982",840.66
"03/03/1982",826.02
"03/04/1982",819.81
"03/05/1982",814.97
"03/08/1982",819.81
"03/09/1982",810.8
"03/10/1982",815.27
"03/11/1982",814.88
"03/12/1982",806.31
"03/15/1982",805.19
"03/16/1982",808.41
"03/17/1982",802.7
"03/18/1982",808.41
"03/19/1982",811.64
"03/22/1982",824.02
"03/23/1982",830.67
"03/24/1982",831.81
"03/25/1982",833.7
"03/26/1982",827.44
"03/29/1982",826.77
"03/30/1982",829.72
"03/31/1982",830.56
"04/01/1982",836.66
"04/02/1982",843.23
"04/05/1982",843.89
"04/06/1982",842.84
"04/07/1982",845.03
"04/08/1982",847.52
"04/12/1982",847.31
"04/13/1982",847.89
"04/14/1982",844.45
"04/15/1982",842.84
"04/16/1982",848.36
"04/19/1982",854.27
"04/20/1982",848.94
"04/21/1982",847.7
"04/22/1982",857.02
"04/23/1982",865.39
"04/26/1982",871.19
"04/27/1982",868.34
"04/28/1982",861.48
"04/29/1982",852.94
"04/30/1982",852.55
"05/03/1982",852.74
"05/04/1982",860.16
"05/05/1982",861.97
"05/06/1982",867.95
"05/07/1982",876.52
"05/10/1982",870.23
"05/11/1982",870.63
"05/12/1982",874.52
"05/13/1982",869.86
"05/14/1982",864.55
"05/17/1982",857.2
"05/18/1982",848.08
"05/19/1982",845.41
"05/20/1982",839.7
"05/21/1982",841.23
"05/24/1982",840.09
"05/25/1982",845.31
"05/26/1982",836.84
"05/27/1982",832.19
"05/28/1982",828.86
"06/01/1982",822.95
"06/02/1982",822.39
"06/03/1982",824.3
"06/04/1982",818.88
"06/07/1982",809.94
"06/08/1982",809.84
"06/09/1982",804.03
"06/10/1982",803.38
"06/11/1982",815.92
"06/14/1982",810.22
"06/15/1982",805.19
"06/16/1982",809.17
"06/17/1982",797.56
"06/18/1982",793.56
"06/21/1982",797.84
"06/22/1982",801.45
"06/23/1982",815.34
"06/24/1982",821.63
"06/25/1982",812.13
"06/28/1982",816.69
"06/29/1982",818.41
"06/30/1982",821.63
"07/01/1982",814.88
"07/02/1982",803.19
"07/06/1982",802.89
"07/07/1982",804.7
"07/08/1982",807.17
"07/09/1982",818.59
"07/12/1982",830.09
"07/13/1982",832.95
"07/14/1982",831.63
"07/15/1982",836.56
"07/16/1982",837.33
"07/19/1982",836.66
"07/20/1982",837.7
"07/21/1982",843.8
"07/22/1982",839.71
"07/23/1982",838.47
"07/26/1982",833.23
"07/27/1982",831.05
"07/28/1982",823.44
"07/29/1982",817.55
"07/30/1982",817.64
"08/02/1982",824.11
"08/03/1982",831.44
"08/04/1982",815.34
"08/05/1982",804.41
"08/06/1982",798.98
"08/09/1982",784.34
"08/10/1982",789.09
"08/11/1982",783.95
"08/12/1982",786.16
"08/13/1982",790.63
"08/16/1982",803.84
"08/17/1982",832.77
"08/18/1982",858.55
"08/19/1982",848.94
"08/20/1982",871.19
"08/23/1982",894.22
"08/24/1982",893.36
"08/25/1982",900.97
"08/26/1982",908.95
"08/27/1982",893.84
"08/30/1982",895.42
"08/31/1982",910.95
"09/01/1982",911.33
"09/02/1982",913.17
"09/03/1982",940.48
"09/07/1982",928.34
"09/08/1982",927.34
"09/09/1982",925.31
"09/10/1982",912.91
"09/13/1982",921.08
"09/14/1982",933.13
"09/15/1982",933.13
"09/16/1982",938.47
"09/17/1982",931.3
"09/20/1982",921.45
"09/21/1982",937.09
"09/22/1982",951.16
"09/23/1982",933.5
"09/24/1982",926.42
"09/27/1982",925.05
"09/28/1982",930.73
"09/29/1982",920.7
"09/30/1982",908.2
"10/01/1982",910.88
"10/04/1982",908.56
"10/05/1982",917.77
"10/06/1982",946.38
"10/07/1982",972.88
"10/08/1982",992.92
"10/11/1982",1027.59
"10/12/1982",1026.95
"10/13/1982",1033.56
"10/14/1982",1020.97
"10/15/1982",1003.86
"10/18/1982",1023.45
"10/19/1982",1031.09
"10/20/1982",1035.23
"10/21/1982",1049.13
"10/22/1982",1051.88
"10/25/1982",1018.77
"10/26/1982",1011.13
"10/27/1982",1019.88
"10/28/1982",1011.88
"10/29/1982",999.45
"11/01/1982",1009.02
"11/02/1982",1036.98
"11/03/1982",1068.16
"11/04/1982",1078.45
"11/05/1982",1061.17
"11/08/1982",1048.56
"11/09/1982",1065.86
"11/10/1982",1078.27
"11/11/1982",1057.03
"11/12/1982",1060.52
"11/15/1982",1032.56
"11/16/1982",1019.69
"11/17/1982",1032.73
"11/18/1982",1040.47
"11/19/1982",1042.86
"11/22/1982",1024.02
"11/23/1982",1007.63
"11/24/1982",1007.36
"11/26/1982",1012.59
"11/29/1982",1014.72
"11/30/1982",1042.41
"12/01/1982",1055
"12/02/1982",1047.38
"12/03/1982",1046.81
"12/06/1982",1061.27
"12/07/1982",1071.09
"12/08/1982",1069.72
"12/09/1982",1049.39
"12/10/1982",1038.36
"12/13/1982",1030.91
"12/14/1982",1047.28
"12/15/1982",1013.52
"12/16/1982",1004.42
"12/17/1982",1018.13
"12/20/1982",1022.63
"12/21/1982",1036.33
"12/22/1982",1047.19
"12/23/1982",1051.52
"12/27/1982",1076.06
"12/28/1982",1077.91
"12/29/1982",1069.34
"12/30/1982",1066.31
"12/31/1982",1055.56
"01/03/1983",1057.2
"01/04/1983",1047.45
"01/05/1983",1056.75
"01/06/1983",1081.95
"01/07/1983",1091.34
"01/10/1983",1099.98
"01/11/1983",1097.5
"01/12/1983",1105.13
"01/13/1983",1091.06
"01/14/1983",1089.05
"01/17/1983",1098.59
"01/18/1983",1089.22
"01/19/1983",1082.97
"01/20/1983",1080.39
"01/21/1983",1070.45
"01/24/1983",1039.28
"01/25/1983",1048.94
"01/26/1983",1050.31
"01/27/1983",1068.16
"01/28/1983",1080.56
"01/31/1983",1079.75
"02/01/1983",1082.78
"02/02/1983",1070.09
"02/03/1983",1075.06
"02/04/1983",1081.13
"02/07/1983",1097.05
"02/08/1983",1091.7
"02/09/1983",1081.59
"02/10/1983",1094.83
"02/11/1983",1100.81
"02/14/1983",1103.33
"02/15/1983",1107.61
"02/16/1983",1103.7
"02/17/1983",1096.34
"02/18/1983",1099.42
"02/22/1983",1097.72
"02/23/1983",1100.14
"02/24/1983",1126.73
"02/25/1983",1135.27
"02/28/1983",1128.58
"03/01/1983",1139.22
"03/02/1983",1144.45
"03/03/1983",1151.13
"03/04/1983",1146.28
"03/07/1983",1149.67
"03/08/1983",1143
"03/09/1983",1136.42
"03/10/1983",1145.22
"03/11/1983",1127.61
"03/14/1983",1124.61
"03/15/1983",1126.84
"03/16/1983",1134.77
"03/17/1983",1123.55
"03/18/1983",1128
