"Title:","Dow Jones Industrial Average (US) - High from the Dow Jones Industrial Average (US) Database"
"SubTitle:","International"
"Time:","01/02/1980 - 11/11/2022"
"Unit of Measure:","$"
"Citation:","S&P Dow Jones Indices (US) (2022-11-14). Dow Jones Industrial Average (US): Dow Jones Industrial Average (US) - High, 01/02/1980 - 11/11/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  039-001-002 doi:https://doi.org/10.6068/DP184779A1F7630"
"ColumnCount:",2
"RowCount:",10797

"Time","Dow Jones Industrial Average (US) - High ($)"
"08/31/1988",2031.65
"09/01/1988",2002.31
"09/02/1988",2054.59
"09/06/1988",2065.26
"09/07/1988",2065.79
"09/08/1988",2063.12
"09/09/1988",2068.81
"09/12/1988",2072.37
"09/13/1988",2083.04
"09/14/1988",2100.64
"09/15/1988",2092.28
"09/16/1988",2098.15
"09/19/1988",2081.08
"09/20/1988",2087.48
"09/21/1988",2090.5
"09/22/1988",2080.01
"09/23/1988",2090.68
"09/26/1988",2085.17
"09/27/1988",2082.32
"09/28/1988",2085.52
"09/29/1988",2119.31
"09/30/1988",2112.91
"10/03/1988",2105.26
"10/04/1988",2102.06
"10/05/1988",2106.51
"10/06/1988",2107.75
"10/07/1988",2150.25
"10/10/1988",2158.96
"10/11/1988",2156.47
"10/12/1988",2126.24
"10/13/1988",2133.36
"10/14/1988",2148.65
"10/17/1988",2142.78
"10/18/1988",2159.85
"10/19/1988",2169.1
"10/20/1988",2181.19
"10/21/1988",2183.5
"10/24/1988",2185.99
"10/25/1988",2179.05
"10/26/1988",2174.08
"10/27/1988",2163.76
"10/28/1988",2157.89
"10/31/1988",2149.36
"11/01/1988",2156.83
"11/02/1988",2160.56
"11/03/1988",2178.88
"11/04/1988",2169.81
"11/07/1988",2144.2
"11/08/1988",2139.4
"11/09/1988",2126.6
"11/10/1988",2124.29
"11/11/1988",2114.33
"11/14/1988",2080.01
"11/15/1988",2077.17
"11/16/1988",2077.7
"11/17/1988",2055.12
"11/18/1988",2065.43
"11/21/1988",2065.97
"11/22/1988",2081.61
"11/23/1988",2096.91
"11/25/1988",2088.9
"11/28/1988",2088.9
"11/29/1988",2107.04
"11/30/1988",2121.27
"12/01/1988",2113.09
"12/02/1988",2099.93
"12/05/1988",2129.8
"12/06/1988",2153.09
"12/07/1988",2160.03
"12/08/1988",2156.65
"12/09/1988",2152.2
"12/12/1988",2159.85
"12/13/1988",2143.49
"12/14/1988",2143.67
"12/15/1988",2139.58
"12/16/1988",2150.71
"12/19/1988",2175.89
"12/20/1988",2186.96
"12/21/1988",2169.11
"12/22/1988",2169.11
"12/23/1988",2170.71
"12/27/1988",2173.21
"12/28/1988",2169.82
"12/29/1988",2185
"12/30/1988",2187.86
"01/03/1989",2167.68
"01/04/1989",2180.89
"01/05/1989",2201.25
"01/06/1989",2206.79
"01/09/1989",2204.64
"01/10/1989",2206.43
"01/11/1989",2207.32
"01/12/1989",2233.57
"01/13/1989",2228.93
"01/16/1989",2231.43
"01/17/1989",2223.75
"01/18/1989",2239.82
"01/19/1989",2249.46
"01/20/1989",2242.68
"01/23/1989",2248.04
"01/24/1989",2256.43
"01/25/1989",2265.89
"01/26/1989",2299.64
"01/27/1989",2343.57
"01/30/1989",2326.43
"01/31/1989",2343.75
"02/01/1989",2350.18
"02/02/1989",2345.18
"02/03/1989",2343.93
"02/06/1989",2333.75
"02/07/1989",2359.46
"02/08/1989",2360.18
"02/09/1989",2343.57
"02/10/1989",2318.57
"02/13/1989",2290.71
"02/14/1989",2300.36
"02/15/1989",2306.43
"02/16/1989",2315.89
"02/17/1989",2332.5
"02/21/1989",2331.61
"02/22/1989",2324.82
"02/23/1989",2289.46
"02/24/1989",2290.54
"02/27/1989",2253.57
"02/28/1989",2263.75
"03/01/1989",2272.14
"03/02/1989",2271.61
"03/03/1989",2276.25
"03/06/1989",2296.25
"03/07/1989",2302.5
"03/08/1989",2311.07
"03/09/1989",2297.32
"03/10/1989",2290.54
"03/13/1989",2315.18
"03/14/1989",2315.36
"03/15/1989",2321.61
"03/16/1989",2346.96
"03/17/1989",2335.18
"03/20/1989",2290.36
"03/21/1989",2283.21
"03/22/1989",2269.64
"03/23/1989",2270.71
"03/27/1989",2258.39
"03/28/1989",2279.29
"03/29/1989",2282.99
"03/30/1989",2292.34
"03/31/1989",2296.37
"04/03/1989",2312.13
"04/04/1989",2305.9
"04/05/1989",2306.09
"04/06/1989",2303.34
"04/07/1989",2308.83
"04/10/1989",2310.85
"04/11/1989",2315.62
"04/12/1989",2323.68
"04/13/1989",2318.18
"04/14/1989",2337.24
"04/17/1989",2343.29
"04/18/1989",2381.96
"04/19/1989",2394.43
"04/20/1989",2393.7
"04/21/1989",2409.46
"04/24/1989",2407.62
"04/25/1989",2413.31
"04/26/1989",2395.16
"04/27/1989",2425.95
"04/28/1989",2423.39
"05/01/1989",2415.69
"05/02/1989",2426.32
"05/03/1989",2405.24
"05/04/1989",2392.05
"05/05/1989",2410.19
"05/08/1989",2380.87
"05/09/1989",2385.81
"05/10/1989",2379.58
"05/11/1989",2385.08
"05/12/1989",2439.7
"05/15/1989",2463.89
"05/16/1989",2462.79
"05/17/1989",2471.22
"05/18/1989",2473.24
"05/19/1989",2501.1
"05/22/1989",2515.4
"05/23/1989",2499.82
"05/24/1989",2484.24
"05/25/1989",2489
"05/26/1989",2494.68
"05/30/1989",2504.41
"05/31/1989",2489.52
"06/01/1989",2496.88
"06/02/1989",2518.2
"06/05/1989",2518.75
"06/06/1989",2501.84
"06/07/1989",2514.15
"06/08/1989",2520.4
"06/09/1989",2523.53
"06/12/1989",2518.84
"06/13/1989",2515.3
"06/14/1989",2513.06
"06/15/1989",2502.24
"06/16/1989",2490.11
"06/19/1989",2487.29
"06/20/1989",2488.24
"06/21/1989",2482.17
"06/22/1989",2482.17
"06/23/1989",2531.87
"06/26/1989",2530.54
"06/27/1989",2535.28
"06/28/1989",2523.71
"06/29/1989",2503.6
"06/30/1989",2460.93
"07/03/1989",2453.72
"07/05/1989",2463.39
"07/06/1989",2463.96
"07/07/1989",2498.48
"07/10/1989",2504.93
"07/11/1989",2531.11
"07/12/1989",2539.45
"07/13/1989",2545.52
"07/14/1989",2555.01
"07/17/1989",2561.65
"07/18/1989",2551.21
"07/19/1989",2584.41
"07/20/1989",2612.67
"07/21/1989",2607.36
"07/24/1989",2604.89
"07/25/1989",2603.38
"07/26/1989",2613.05
"07/27/1989",2636.76
"07/28/1989",2646.05
"07/31/1989",2660.66
"08/01/1989",2676.97
"08/02/1989",2659.33
"08/03/1989",2667.49
"08/04/1989",2669.76
"08/07/1989",2695.18
"08/08/1989",2707.51
"08/09/1989",2715.1
"08/10/1989",2727.43
"08/11/1989",2732.93
"08/14/1989",2694.42
"08/15/1989",2694.42
"08/16/1989",2702.01
"08/17/1989",2699.92
"08/18/1989",2691.58
"08/21/1989",2688.54
"08/22/1989",2652.12
"08/23/1989",2679.44
"08/24/1989",2734.83
"08/25/1989",2748.29
"08/28/1989",2743.36
"08/29/1989",2742.59
"08/30/1989",2744.3
"08/31/1989",2737.27
"09/01/1989",2757.79
"09/05/1989",2760.07
"09/06/1989",2745.06
"09/07/1989",2728.91
"09/08/1989",2718.09
"09/11/1989",2708.78
"09/12/1989",2718.31
"09/13/1989",2715.43
"09/14/1989",2679.71
"09/15/1989",2681.23
"09/18/1989",2688.83
"09/19/1989",2699.85
"09/20/1989",2694.34
"09/21/1989",2700.23
"09/22/1989",2686.93
"09/25/1989",2680.09
"09/26/1989",2681.99
"09/27/1989",2673.25
"09/28/1989",2694.91
"09/29/1989",2710.68
"10/02/1989",2715.81
"10/03/1989",2755.51
"10/04/1989",2776.02
"10/05/1989",2780.02
"10/06/1989",2789.89
"10/09/1989",2795.97
"10/10/1989",2794.83
"10/11/1989",2782.58
"10/12/1989",2774.18
"10/13/1989",2569.88
"10/16/1989",2667.42
"10/17/1989",2653.48
"10/18/1989",2654.1
"10/19/1989",2702.66
"10/20/1989",2690.78
"10/23/1989",2696.52
"10/24/1989",2665.57
"10/25/1989",2674.18
"10/26/1989",2652.66
"10/27/1989",2614.96
"10/30/1989",2619.26
"10/31/1989",2651.02
"11/01/1989",2654.1
"11/02/1989",2644.88
"11/03/1989",2642.62
"11/06/1989",2624.8
"11/07/1989",2600.82
"11/08/1989",2634.63
"11/09/1989",2626.43
"11/10/1989",2625.61
"11/13/1989",2636.68
"11/14/1989",2631.76
"11/15/1989",2634.22
"11/16/1989",2637.7
"11/17/1989",2655.74
"11/20/1989",2652.73
"11/21/1989",2641.85
"11/22/1989",2658.28
"11/24/1989",2678.97
"11/27/1989",2697.53
"11/28/1989",2704.14
"11/29/1989",2704.35
"11/30/1989",2711.18
"12/01/1989",2758.96
"12/04/1989",2758.75
"12/05/1989",2764.51
"12/06/1989",2745.09
"12/07/1989",2747.65
"12/08/1989",2739.55
"12/11/1989",2731.02
"12/12/1989",2756.4
"12/13/1989",2772.18
"12/14/1989",2758.75
"12/15/1989",2756.4
"12/18/1989",2749.36
"12/19/1989",2709.47
"12/20/1989",2703.92
"12/21/1989",2702.65
"12/22/1989",2711.6
"12/26/1989",2719.92
"12/27/1989",2731.02
"12/28/1989",2732.3
"12/29/1989",2753.2
"01/02/1990",2810.15
"01/03/1990",2823.17
"01/04/1990",2815.49
"01/05/1990",2802.05
"01/08/1990",2798.63
"01/09/1990",2802.69
"01/10/1990",2767.7
"01/11/1990",2774.53
"01/12/1990",2757.89
"01/15/1990",2691.34
"01/16/1990",2692.83
"01/17/1990",2704.35
"01/18/1990",2669.8
"01/19/1990",2685.79
"01/22/1990",2680.86
"01/23/1990",2625.68
"01/24/1990",2615.54
"01/25/1990",2615.99
"01/26/1990",2583.56
"01/29/1990",2572.3
"01/30/1990",2563.06
"01/31/1990",2590.54
"02/01/1990",2598.65
"02/02/1990",2616.44
"02/05/1990",2625.68
"02/06/1990",2622.3
"02/07/1990",2641.89
"02/08/1990",2664.64
"02/09/1990",2658.33
"02/12/1990",2646.4
"02/13/1990",2631.98
"02/14/1990",2639.41
"02/15/1990",2650.9
"02/16/1990",2657.88
"02/20/1990",2632.66
"02/21/1990",2594.37
"02/22/1990",2618.02
"02/23/1990",2581.31
"02/26/1990",2602.48
"02/27/1990",2629.95
"02/28/1990",2645.05
"03/01/1990",2648.87
"03/02/1990",2660.36
"03/05/1990",2666.44
"03/06/1990",2677.25
"03/07/1990",2685.59
"03/08/1990",2699.55
"03/09/1990",2698.65
"03/12/1990",2690.77
"03/13/1990",2694.14
"03/14/1990",2694.59
"03/15/1990",2708.33
"03/16/1990",2741.22
"03/19/1990",2757.21
"03/20/1990",2768.02
"03/21/1990",2751.13
"03/22/1990",2731.08
"03/23/1990",2712.61
"03/26/1990",2726.8
"03/27/1990",2736.94
"03/28/1990",2745.72
"03/29/1990",2743.47
"03/30/1990",2729.05
"04/02/1990",2703.83
"04/03/1990",2741.44
"04/04/1990",2746.85
"04/05/1990",2738.06
"04/06/1990",2729.5
"04/09/1990",2729.05
"04/10/1990",2733.78
"04/11/1990",2740.99
"04/12/1990",2756.53
"04/16/1990",2782.88
"04/17/1990",2768.92
"04/18/1990",2771.62
"04/19/1990",2733.78
"04/20/1990",2715.77
"04/23/1990",2695.27
"04/24/1990",2677.93
"04/25/1990",2674.77
"04/26/1990",2682.66
"04/27/1990",2681.31
"04/30/1990",2663.51
"05/01/1990",2677.03
"05/02/1990",2689.64
"05/03/1990",2710.36
"05/04/1990",2710.81
"05/07/1990",2729.95
"05/08/1990",2734.46
"05/09/1990",2735.14
"05/10/1990",2746.4
"05/11/1990",2804.05
"05/14/1990",2853.47
"05/15/1990",2828.94
"05/16/1990",2830.79
"05/17/1990",2846.06
"05/18/1990",2831.94
"05/21/1990",2851.16
"05/22/1990",2870.49
"05/23/1990",2856.26
"05/24/1990",2860.77
"05/25/1990",2852.94
"05/29/1990",2871.68
"05/30/1990",2894.45
"05/31/1990",2888.28
"06/01/1990",2901.7
"06/04/1990",2936.41
"06/05/1990",2948.3
"06/06/1990",2925.73
"06/07/1990",2920.39
"06/08/1990",2905.34
"06/11/1990",2892.57
"06/12/1990",2941.34
"06/13/1990",2948.27
"06/14/1990",2929.7
"06/15/1990",2936.88
"06/18/1990",2933.66
"06/19/1990",2898.76
"06/20/1990",2904.46
"06/21/1990",2905.2
"06/22/1990",2923.02
"06/25/1990",2875
"06/26/1990",2875.74
"06/27/1990",2868.32
"06/28/1990",2880.45
"06/29/1990",2892.33
"07/02/1990",2900.74
"07/03/1990",2915.35
"07/05/1990",2906.19
"07/06/1990",2909.41
"07/09/1990",2920.3
"07/10/1990",2916.58
"07/11/1990",2932.92
"07/12/1990",2970.3
"07/13/1990",3001.24
"07/16/1990",3007.92
"07/17/1990",3010.4
"07/18/1990",2998.02
"07/19/1990",2993.81
"07/20/1990",3005.45
"07/23/1990",2961.39
"07/24/1990",2922.77
"07/25/1990",2935.64
"07/26/1990",2932.92
"07/27/1990",2938.37
"07/30/1990",2922.52
"07/31/1990",2940.1
"08/01/1990",2931.19
"08/02/1990",2903.22
"08/03/1990",2863.86
"08/06/1990",2758.42
"08/07/1990",2763.86
"08/08/1990",2763.37
"08/09/1990",2774.26
"08/10/1990",2763.61
"08/13/1990",2752.23
"08/14/1990",2773.02
"08/15/1990",2778.71
"08/16/1990",2746.53
"08/17/1990",2679.21
"08/20/1990",2679.21
"08/21/1990",2645.54
"08/22/1990",2630.69
"08/23/1990",2539.6
"08/24/1990",2555.69
"08/27/1990",2645.05
"08/28/1990",2629.95
"08/29/1990",2651.24
"08/30/1990",2641.34
"08/31/1990",2624.5
"09/04/1990",2618.07
"09/05/1990",2643.07
"09/06/1990",2633.17
"09/07/1990",2635.89
"09/10/1990",2665.35
"09/11/1990",2635.64
"09/12/1990",2639.11
"09/13/1990",2629.21
"09/14/1990",2585.15
"09/17/1990",2585.89
"09/18/1990",2587.87
"09/19/1990",2594.55
"09/20/1990",2549.01
"09/21/1990",2538.37
"09/24/1990",2498.02
"09/25/1990",2501.24
"09/26/1990",2496.04
"09/27/1990",2492.33
"09/28/1990",2465.59
"10/01/1990",2534.65
"10/02/1990",2565.35
"10/03/1990",2534.65
"10/04/1990",2528.22
"10/05/1990",2544.55
"10/08/1990",2548.02
"10/09/1990",2515.35
"10/10/1990",2472.03
"10/11/1990",2427.23
"10/12/1990",2428.71
"10/15/1990",2451.24
"10/16/1990",2434.41
"10/17/1990",2418.56
"10/18/1990",2461.63
"10/19/1990",2536.88
"10/22/1990",2535.4
"10/23/1990",2527.97
"10/24/1990",2523.02
"10/25/1990",2525.99
"10/26/1990",2482.18
"10/29/1990",2470.3
"10/30/1990",2462.87
"10/31/1990",2475.99
"11/01/1990",2473.02
"11/02/1990",2501.73
"11/05/1990",2519.06
"11/06/1990",2516.83
"11/07/1990",2490.35
"11/08/1990",2468.81
"11/09/1990",2500.74
"11/12/1990",2550.99
"11/13/1990",2559.9
"11/14/1990",2581.19
"11/15/1990",2567.33
"11/16/1990",2570.79
"11/19/1990",2580.69
"11/20/1990",2574.5
"11/21/1990",2552.23
"11/23/1990",2557.92
"11/26/1990",2541.58
"11/27/1990",2562.62
"11/28/1990",2564.6
"11/29/1990",2544.31
"11/30/1990",2577.23
"12/03/1990",2589.6
"12/04/1990",2592.08
"12/05/1990",2615.84
"12/06/1990",2656.44
"12/07/1990",2618.07
"12/10/1990",2609.41
"12/11/1990",2606.93
"12/12/1990",2630.69
"12/13/1990",2640.59
"12/14/1990",2617.82
"12/17/1990",2600.74
"12/18/1990",2639.36
"12/19/1990",2648.51
"12/20/1990",2648.51
"12/21/1990",2662.62
"12/24/1990",2638.12
"12/26/1990",2653.96
"12/27/1990",2652.23
"12/28/1990",2639.11
"12/31/1990",2641.09
"01/02/1991",2651.73
"01/03/1991",2622.28
"01/04/1991",2601.98
"01/07/1991",2563.37
"01/08/1991",2544.06
"01/09/1991",2562.38
"01/10/1991",2512.13
"01/11/1991",2516.09
"01/14/1991",2500.99
"01/15/1991",2504.46
"01/16/1991",2525.25
"01/17/1991",2635.89
"01/18/1991",2663.37
"01/21/1991",2646.29
"01/22/1991",2645.05
"01/23/1991",2645.54
"01/24/1991",2667.33
"01/25/1991",2679.46
"01/28/1991",2688.61
"01/29/1991",2677.23
"01/30/1991",2725.99
"01/31/1991",2747.28
"02/01/1991",2764.6
"02/04/1991",2791.83
"02/05/1991",2805.2
"02/06/1991",2844.8
"02/07/1991",2875.49
"02/08/1991",2847.28
"02/11/1991",2910.64
"02/12/1991",2923.02
"02/13/1991",2918.32
"02/14/1991",2942.08
"02/15/1991",2947.52
"02/19/1991",2955.2
"02/20/1991",2923.76
"02/21/1991",2927.72
"02/22/1991",2945.79
"02/25/1991",2937.13
"02/26/1991",2895.3
"02/27/1991",2915.35
"02/28/1991",2923.51
"03/01/1991",2923.51
"03/04/1991",2950.74
"03/05/1991",2996.04
"03/06/1991",3017.82
"03/07/1991",2998.51
"03/08/1991",3003.71
"03/11/1991",2975.49
"03/12/1991",2962.13
"03/13/1991",2967.82
"03/14/1991",3000
"03/15/1991",2966.58
"03/18/1991",2960.64
"03/19/1991",2908.17
"03/20/1991",2897.03
"03/21/1991",2907.92
"03/22/1991",2879.95
"03/25/1991",2897.52
"03/26/1991",2924.01
"03/27/1991",2956.93
"03/28/1991",2942.08
"04/01/1991",2919.31
"04/02/1991",2951.98
"04/03/1991",2970.54
"04/04/1991",2959.41
"04/05/1991",2949.26
"04/08/1991",2929.21
"04/09/1991",2932.43
"04/10/1991",2902.48
"04/11/1991",2937.62
"04/12/1991",2946.53
"04/15/1991",2957.18
"04/16/1991",2995.79
"04/17/1991",3030.45
"04/18/1991",3027.72
"04/19/1991",3000.25
"04/22/1991",2962.13
"04/23/1991",2957.92
"04/24/1991",2965.1
"04/25/1991",2958.42
"04/26/1991",2934.9
"04/29/1991",2941.09
"04/30/1991",2929.21
"05/01/1991",2945.3
"05/02/1991",2966.34
"05/03/1991",2959.9
"05/06/1991",2956.84
"05/07/1991",2962.66
"05/08/1991",2945.21
"05/09/1991",2983.68
"05/10/1991",2986.14
"05/13/1991",2945.44
"05/14/1991",2922.85
"05/15/1991",2901.83
"05/16/1991",2905.63
"05/17/1991",2908.77
"05/20/1991",2910.78
"05/21/1991",2931.8
"05/22/1991",2930.01
"05/23/1991",2935.38
"05/24/1991",2931.13
"05/28/1991",2965.12
"05/29/1991",2987.92
"05/30/1991",3022.81
"05/31/1991",3044.5
"06/03/1991",3057.47
"06/04/1991",3042.04
"06/05/1991",3042.93
"06/06/1991",3027.06
"06/07/1991",3005.14
"06/10/1991",2993.07
"06/11/1991",3011.85
"06/12/1991",2987.25
"06/13/1991",2982.11
"06/14/1991",3014.98
"06/17/1991",3021.69
"06/18/1991",3022.14
"06/19/1991",2978.31
"06/20/1991",2969.81
"06/21/1991",2977.64
"06/24/1991",2957.29
"06/25/1991",2938.51
"06/26/1991",2934.03
"06/27/1991",2954.83
"06/28/1991",2934.03
"07/01/1991",2971.15
"07/02/1991",2987.03
"07/03/1991",2957.07
"07/05/1991",2953.26
"07/08/1991",2966.23
"07/09/1991",2980.1
"07/10/1991",2990.83
"07/11/1991",2975.63
"07/12/1991",3003.35
"07/15/1991",3007.38
"07/16/1991",3012.52
"07/17/1991",3011.18
"07/18/1991",3026.61
"07/19/1991",3036.23
"07/22/1991",3034.44
"07/23/1991",3038.24
"07/24/1991",3003.13
"07/25/1991",2999.11
"07/26/1991",2994.86
"07/29/1991",2996.2
"07/30/1991",3029.07
"07/31/1991",3039.58
"08/01/1991",3037.12
"08/02/1991",3042.26
"08/05/1991",3019.68
"08/06/1991",3034.88
"08/07/1991",3050.54
"08/08/1991",3045.17
"08/09/1991",3036.45
"08/12/1991",3013.42
"08/13/1991",3041.14
"08/14/1991",3036.67
"08/15/1991",3029.96
"08/16/1991",3013.64
"08/19/1991",2924.87
"08/20/1991",2937.39
"08/21/1991",3009.17
"08/22/1991",3029.96
"08/23/1991",3065.97
"08/26/1991",3057.02
"08/27/1991",3047.41
"08/28/1991",3064.85
"08/29/1991",3068.65
"08/30/1991",3059.26
"09/03/1991",3066.64
"09/04/1991",3034.66
"09/05/1991",3031.98
"09/06/1991",3033.32
"09/09/1991",3025.49
"09/10/1991",3012.97
"09/11/1991",3004.7
"09/12/1991",3019.9
"09/13/1991",3021.47
"09/16/1991",3023.03
"09/17/1991",3036
"09/18/1991",3025.49
"09/19/1991",3050.76
"09/20/1991",3045.39
"09/23/1991",3037.79
"09/24/1991",3043.38
"09/25/1991",3048.52
"09/26/1991",3040.7
"09/27/1991",3040.7
"09/30/1991",3032.87
"10/01/1991",3043.6
"10/02/1991",3040.25
"10/03/1991",3017.44
"10/04/1991",3007.16
"10/07/1991",2970.71
"10/08/1991",2983.68
"10/09/1991",2984.79
"10/10/1991",2985.47
"10/11/1991",3000.89
"10/14/1991",3026.39
"10/15/1991",3057.69
"10/16/1991",3082.07
"10/17/1991",3077.15
"10/18/1991",3089.45
"10/21/1991",3085.2
"10/22/1991",3084.53
"10/23/1991",3065.52
"10/24/1991",3047.63
"10/25/1991",3034.44
"10/28/1991",3055.23
"10/29/1991",3077.82
"10/30/1991",3090.12
"10/31/1991",3091.01
"11/01/1991",3091.91
"11/04/1991",3061.27
"11/05/1991",3062.84
"11/06/1991",3056.57
"11/07/1991",3066.19
"11/08/1991",3080.95
"11/11/1991",3057.69
"11/12/1991",3078.71
"11/13/1991",3075.58
"11/14/1991",3080.05
"11/15/1991",3069.54
"11/18/1991",2990.61
"11/19/1991",2960.2
"11/20/1991",2973.61
"11/21/1991",2953.94
"11/22/1991",2940.3
"11/25/1991",2921.96
"11/26/1991",2942.31
"11/27/1991",2929.11
"11/29/1991",2913.46
"12/02/1991",2941.64
"12/03/1991",2958.18
"12/04/1991",2945.66
"12/05/1991",2923.75
"12/06/1991",2924.87
"12/09/1991",2913.46
"12/10/1991",2891.1
"12/11/1991",2889.53
"12/12/1991",2911.67
"12/13/1991",2936.72
"12/16/1991",2949.02
"12/17/1991",2936.27
"12/18/1991",2921.29
"12/19/1991",2927.1
"12/20/1991",2965.79
"12/23/1991",3037.57
"12/24/1991",3087.88
"12/26/1991",3101.97
"12/27/1991",3121.65
"12/30/1991",3174.64
"12/31/1991",3204.61
"01/02/1992",3184.7
"01/03/1992",3221.38
"01/06/1992",3230.32
"01/07/1992",3224.73
"01/08/1992",3245.53
"01/09/1992",3246.65
"01/10/1992",3235.91
"01/13/1992",3215.56
"01/14/1992",3255.81
"01/15/1992",3299.19
"01/16/1992",3289.36
"01/17/1992",3297.63
"01/20/1992",3283.32
"01/21/1992",3275.49
"01/22/1992",3272.81
"01/23/1992",3279.52
"01/24/1992",3264.31
"01/27/1992",3267.44
"01/28/1992",3298.3
"01/29/1992",3313.95
"01/30/1992",3269.68
"01/31/1992",3274.37
"02/03/1992",3261.4
"02/04/1992",3283.09
"02/05/1992",3299.87
"02/06/1992",3285.55
"02/07/1992",3283.09
"02/10/1992",3269.01
"02/11/1992",3277.28
"02/12/1992",3291.37
"02/13/1992",3296.74
"02/14/1992",3271.91
"02/18/1992",3280.19
"02/19/1992",3259.17
"02/20/1992",3301.21
"02/21/1992",3307.47
"02/24/1992",3305.01
"02/25/1992",3293.6
"02/26/1992",3305.01
"02/27/1992",3300.54
"02/28/1992",3304.11
"03/02/1992",3298.97
"03/03/1992",3313.28
"03/04/1992",3318.43
"03/05/1992",3283.54
"03/06/1992",3262.97
"03/09/1992",3242.62
"03/10/1992",3259.17
"03/11/1992",3242.17
"03/12/1992",3232.33
"03/13/1992",3252.24
"03/16/1992",3249.11
"03/17/1992",3272.58
"03/18/1992",3281.98
"03/19/1992",3286.23
"03/20/1992",3292.49
"03/23/1992",3288.69
"03/24/1992",3296.96
"03/25/1992",3290.47
"03/26/1992",3288.91
"03/27/1992",3272.58
"03/30/1992",3260.06
"03/31/1992",3272.81
"04/01/1992",3262.52
"04/02/1992",3277.06
"04/03/1992",3271.91
"04/06/1992",3295.84
"04/07/1992",3291.82
"04/08/1992",3221.38
"04/09/1992",3245.08
"04/10/1992",3280.86
"04/13/1992",3293.6
"04/14/1992",3336.54
"04/15/1992",3370.08
"04/16/1992",3387.97
"04/20/1992",3375.67
"04/21/1992",3366.5
"04/22/1992",3366.73
"04/23/1992",3376.34
"04/24/1992",3381.48
"04/27/1992",3340.79
"04/28/1992",3329.83
"04/29/1992",3353.76
"04/30/1992",3377.01
"05/01/1992",3375.67
"05/04/1992",3396.47
"05/05/1992",3393.78
"05/06/1992",3398.7
"05/07/1992",3390.65
"05/08/1992",3388.42
"05/11/1992",3410.11
"05/12/1992",3414.63
"05/13/1992",3414.17
"05/14/1992",3397.47
"05/15/1992",3380.31
"05/18/1992",3398.24
"05/19/1992",3413.37
"05/20/1992",3421.42
"05/21/1992",3402.87
"05/22/1992",3408.48
"05/26/1992",3410.87
"05/27/1992",3396.62
"05/28/1992",3408.28
"05/29/1992",3433.95
"06/01/1992",3424.35
"06/02/1992",3435.24
"06/03/1992",3431.09
"06/04/1992",3427.98
"06/05/1992",3424.61
"06/08/1992",3422.8
"06/09/1992",3412.95
"06/10/1992",3385.73
"06/11/1992",3374.58
"06/12/1992",3397.65
"06/15/1992",3371.75
"06/16/1992",3378.97
"06/17/1992",3347.94
"06/18/1992",3313.7
"06/19/1992",3313.17
"06/22/1992",3298.19
"06/23/1992",3312.1
"06/24/1992",3317.72
"06/25/1992",3319.59
"06/26/1992",3303.01
"06/29/1992",3330.29
"06/30/1992",3347.68
"07/01/1992",3366.4
"07/02/1992",3385.39
"07/06/1992",3367.57
"07/07/1992",3360.82
"07/08/1992",3323
"07/09/1992",3345.42
"07/10/1992",3355.95
"07/13/1992",3357.58
"07/14/1992",3371.89
"07/15/1992",3381.89
"07/16/1992",3375.68
"07/17/1992",3359.74
"07/20/1992",3318.4
"07/21/1992",3335.96
"07/22/1992",3310.3
"07/23/1992",3308.41
"07/24/1992",3305.7
"07/27/1992",3311.38
"07/28/1992",3345.69
"07/29/1992",3399.72
"07/30/1992",3409.18
"07/31/1992",3414.85
"08/03/1992",3413.23
"08/04/1992",3405.66
"08/05/1992",3391.35
"08/06/1992",3374.33
"08/07/1992",3378.38
"08/10/1992",3350.28
"08/11/1992",3356.5
"08/12/1992",3349.74
"08/13/1992",3347.31
"08/14/1992",3342.18
"08/17/1992",3350.28
"08/18/1992",3343.8
"08/19/1992",3347.58
"08/20/1992",3326.24
"08/21/1992",3330.29
"08/24/1992",3258.43
"08/25/1992",3253.02
"08/26/1992",3261.4
"08/27/1992",3285.71
"08/28/1992",3280.58
"08/31/1992",3287.06
"09/01/1992",3279.23
"09/02/1992",3301.92
"09/03/1992",3325.97
"09/04/1992",3306.25
"09/08/1992",3292.2
"09/09/1992",3284.09
"09/10/1992",3318.94
"09/11/1992",3327.32
"09/14/1992",3391.35
"09/15/1992",3372.98
"09/16/1992",3353.52
"09/17/1992",3347.04
"09/18/1992",3340.56
"09/21/1992",3341.91
"09/22/1992",3327.05
"09/23/1992",3302.19
"09/24/1992",3310.84
"09/25/1992",3292.2
"09/28/1992",3283.01
"09/29/1992",3295.98
"09/30/1992",3291.66
"10/01/1992",3291.39
"10/02/1992",3259.51
"10/05/1992",3197.1
"10/06/1992",3205.2
"10/07/1992",3200.88
"10/08/1992",3195.48
"10/09/1992",3176.57
"10/12/1992",3186.29
"10/13/1992",3222.77
"10/14/1992",3225.74
"10/15/1992",3207.37
"10/16/1992",3203.85
"10/19/1992",3211.15
"10/20/1992",3223.31
"10/21/1992",3212.5
"10/22/1992",3221.14
"10/23/1992",3233.57
"10/26/1992",3255.99
"10/27/1992",3270.31
"10/28/1992",3262.48
"10/29/1992",3268.96
"10/30/1992",3260.59
